UMAP_1,UMAP_2,state
-3.944,-4.132,CD8.TEX
1.172,2.108,CD8.CM
-6.041,-1.744,CD8.TPEX
-6.297,-0.64,CD8.TPEX
-5.983,0.001,CD8.TPEX
0.656,0.772,CD8.CM
-5.842,-0.552,CD8.TPEX
-7.163,-3.779,CD8.TEX
-6.299,-4.981,CD8.TEX
-6.91,-2.665,CD8.TEX
1.612,1.645,CD8.CM
-7.076,-3.951,CD8.TEX
-5.676,-0.667,CD8.TPEX
-1.376,-0.944,CD8.EM
-5.59,-4.902,CD8.TEX
1.392,1.707,CD8.CM
-1.694,-0.79,CD8.CM
-6.672,-0.599,CD8.TPEX
3.345,2.45,CD8.CM
1.629,2.427,CD8.CM
-1.256,-2.283,CD8.EM
-5.967,-0.493,CD8.TPEX
